Year,ppm
1959,315.98
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.19
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.76
1981,340.12
1982,341.48
1983,343.15
1984,344.87
1985,346.35
1986,347.61
1987,349.31
1988,351.69
1989,353.20
1990,354.45
1991,355.70
1992,356.54
1993,357.21
1994,358.96
1995,360.97
1996,362.74
1997,363.88
1998,366.84
1999,368.54
2000,369.71
2001,371.32
2002,373.45
2003,375.98
2004,377.70
2005,379.98
2006,382.09
2007,384.02
2008,385.83
2009,387.64
2010,390.10
2011,391.85
2012,394.06
2013,396.74
2014,398.81
2015,401.01
2016,404.41
2017,406.76
2018,408.72
2019,411.65
2020,414.21
2021,416.41
2022,418.53
2023,421.08
2024,425.0
2025,427.5
2026,430.0
2027,432.5
2028,435.0
2029,437.5
2030,440.0
2031,442.5
2032,445.0
2033,447.5
2034,450.0
2035,452.5
2036,455.0
2037,457.5
2038,460.0
2039,462.5
2040,465.0
2041,467.5
2042,470.0
2043,472.5
2044,475.0
2045,477.5
2046,480.0
2047,482.5
2048,485.0
2049,487.5
2050,490.0
2051,492.5
2052,495.0
2053,497.5
2054,500.0
2055,502.5
2056,505.0
2057,507.5
2058,510.0
2059,512.5
2060,515.0
2061,517.5
2062,520.0
2063,522.5
2064,525.0
2065,527.5
2066,530.0
2067,532.5
2068,535.0
2069,537.5
2070,540.0
2071,542.5
2072,545.0
2073,547.5
2074,550.0
2075,552.5
2076,555.0
2077,557.5
2078,560.0
2079,562.5
2080,565.0
2081,567.5
2082,570.0
2083,572.5
2084,575.0
2085,577.5
2086,580.0
2087,582.5
2088,585.0
2089,587.5
2090,590.0
2091,592.5
2092,595.0
2093,597.5
2094,600.0
2095,602.5
2096,605.0
2097,607.5
2098,610.0
2099,612.5
2100,615.0
